Nama Hotel,Rating,Bintang,Harga,Alamat,Image,Budget_Range,Id_hotel
POP! Hotel Timoho Yogyakarta,"4,30",,642989,"Jl. Ipda Tut Harsono No.11, Muja Muju, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55165",https://lh3.googleusercontent.com/gps-proxy/AMy85WJBStRM9--FnrhJOyE0gF6NxAfMhf4UDaOcJ321mkxNXh5Wuz30MkujlKTH9VSCKdqdZB51FSaJrDQnYZeFN55jWbWshpBy0h93WnQliKmwZyM_5Iy2AbgxXXz2kX3Yo_HVvib1SG6a1Sw0w1ZADgBBrbIavgLqJLKrMfHNecOKDA_sdslxluuf=w408-h272-k-no,Afordable,65
Grand Senyum Hotel Yogyakarta,"4,60",Hotel bintang 4,636115,"Jl. Pangeran Diponegoro No.27, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55232",https://lh5.googleusercontent.com/p/AF1QipOMafIQwVfd1yakvE5twEri1Y0Gwltek7sbBgSH=w408-h272-k-no,Afordable,67
Hotel Ibis Laksda Adisucipto,"4,70",Hotel bintang 3,539458,"Jl. Laksda Adisucipto No.80, Demangan Baru, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55221",https://lh3.googleusercontent.com/gps-proxy/AMy85WKcX6zVNkMAm0NXWS_TokP6x0aGSjaywMHLgDEmMS7DbcEzIyp7cWJGMCqwUpUk2S0wGfCDggkMhz5_qkP2bMy24OlAx8UStnbhcNp-KaIfc6_eBUHumahouvz-N8zX1RdS3jJDBX8FKbqCX7NrKZvYqIrDR_QW6aFBOg2haCKt3eTxPQDqS9w=w408-h270-k-no,Afordable,39
Top Malioboro Hotel Jogja,"4,10",Hotel bintang 2,539303,"Jl. HOS Cokroaminoto No.145, Tegalrejo, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55244",https://lh5.googleusercontent.com/p/AF1QipNCKuA2sBd9rzcph7U7ircAiljFt6t54f8swkIW=w408-h452-k-no,Afordable,36
POP! Hotel Sangaji,"4,20",Hotel bintang 2,501372,"Jl. A.M. Sangaji No.Kav.16-18, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55000",https://lh5.googleusercontent.com/p/AF1QipPLMe3RjyviCqGdgm8d2zxVw47uP-GJUsw0qymh=w408-h272-k-no,Afordable,45
Tasneem Convention Hotel Yogyakarta,"4,30",Hotel bintang 3,491772,"Purawisata, Kawasan Mandira Baruga, Jl. Brigjen Katamso, Keparakan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55152",https://lh3.googleusercontent.com/gps-proxy/AMy85WKcsCmkCQsDh420Rzum3uerRy_tvsvvfWYnZDbd4updII6FV6PjUpRPrnhyy8e-PTDpbJjx7hvcK_YbWGeAjY39PP0abZxC21QSbyTVg4n3TP5r3z3TfQDv7tO26kKUKtj94BmR2MZgPLLwZu-JuULyXw_Zep5oZVfrfUD3UEpIXz0zlVYHQosX=w408-h272-k-no,Afordable,37
Best City Hotel Yogyakarta,"4,20",Hotel bintang 3,480557,"Jl. Tentara Pelajar No.44, Bumijo, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55231",https://lh3.googleusercontent.com/gps-proxy/AMy85WKgHNsHFlbdlzK1RSkYumIhGBn_u1tft6P_5ung4WD14Ql20zZ4_NP7DS11-lRNAoBhEoOEpUJdJDGNR47kFA604Hs0YHr8NGeIN3i_9x8_A4rmbfLX_-Lz7Zwl9owOqavBrBK57S3AIQPSJia6JRBc7CQWBAzu7V3xC164jaxiiCGjaBxCvKaS3w=w408-h272-k-no,Afordable,66
Hotel Noola Malioboro,"4,70",,465040,"Jl. Parangtritis No.15, RW.08, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143",https://lh5.googleusercontent.com/p/AF1QipMTQKMQh6woihfX1TtH-F90O3LQEQsha7tpS-_H=w408-h544-k-no,Afordable,40
the Amartya Jogjakarta Hotel,"4,40",,432501,"Jl. Ringroad Barat No.288, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55292",https://lh5.googleusercontent.com/p/AF1QipP12nOXxXUxD7oAYbVrQ5VvGf2MgaV8fBbJQ4o=w408-h306-k-no,Afordable,47
LPP Convention Hotel,"4,50",Hotel bintang 3,421645,"Jl. Demangan Baru No.8, Demangan Baru, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",https://lh5.googleusercontent.com/p/AF1QipMFSV1Wp6SpCcCDwUBZ8t91dlCluDk-z1jTNa2x=w408-h271-k-no,Afordable,56
RedDoorz near Tugu Yogyakarta,"3,60",Hotel bintang 2,419131,"Jl. Pakuningratan No.1, Tugu, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",https://lh3.googleusercontent.com/gps-proxy/AMy85WKd33O06SCoI_3okDzOWd1mxa2s_tijSIuHYkQzpDLE7KIz_IOC-HeY61L5yFFuIF8OPsXb6_GwdvSG8VvtvYnbgXNMit6an-56GDIP0j-rJ81fLDp5YfWTqRxoX2qV-2cQGB2FGpZN8OqvDnb3j8dDpXhuZixONgoD06EKEAAeJJiK5Rz1zzzE=w408-h272-k-no,Afordable,48
